strategy,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,n_conditions,conditions,sql_predicate,source_book
BAS_prop:shorten_0184,prop:shortener_vs_open,Npc,1.648,63.3,3.1,342,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,imbal >= 0.0164 AND line_flat >= 0.8667,"""imbal"" IS NOT NULL AND ""imbal"" >= 0.0164 AND ""line_flat"" IS NOT NULL AND ""line_flat"" >= 0.8667",COMBINA_1027.xlsx
BAS_dog_leading_0167,dog_leading,Jobber,2.488,42.4,3.1,309,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,X_minute__x__u_pace <= 324.3,"""X_minute__x__u_pace"" IS NOT NULL AND ""X_minute__x__u_pace"" <= 324.3",COMBINA_1027.xlsx
BAS_lead_ml_0147,lead_ml,Jobber,2.29,46.1,3,335,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1237 AND lead_m15 <= 0,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1237 AND ""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 0",COMBINA_1027.xlsx
BAS_lead_ml_0062,lead_ml,Npc,1.533,67.2,2.9,339,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,trailer_price >= 1.92 AND u_time_in_lead >= 0.0009,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.92 AND ""u_time_in_lead"" IS NOT NULL AND ""u_time_in_lead"" >= 0.0009",COMBINA_1027.xlsx
BAS_spread_dog_c_0256,spread_dog_cover,Npc,1.578,64.9,2.9,365,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,trailer_drift <= 4.1282,"""trailer_drift"" IS NOT NULL AND ""trailer_drift"" <= 4.1282",COMBINA_1027.xlsx
BAS_prop:shorten_0200,prop:shortener_vs_open,Npc,1.648,62.8,2.9,291,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,req_ratio >= 1.0985 AND lead_vs_prematch_gap <= -0.0126,"""req_ratio"" IS NOT NULL AND ""req_ratio"" >= 1.0985 AND ""lead_vs_prematch_gap"" IS NOT NULL AND ""lead_vs_prematch_gap"" <= -0.0126",COMBINA_1027.xlsx
BAS_dog_leading_0173,dog_leading,Jobber,2.368,44.5,2.9,366,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1169 AND open_vs_now_lead <= 0.73,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1169 AND ""open_vs_now_lead"" IS NOT NULL AND ""open_vs_now_lead"" <= 0.73",COMBINA_1027.xlsx
BAS_prop:first_s_0080,prop:first_scorer_hold,Npc,1.588,64.9,2.8,355,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_dog_odds >= 1.85,"""rk_dog_odds"" IS NOT NULL AND ""rk_dog_odds"" >= 1.85",COMBINA_1027.xlsx
BAS_lead_ml_0150,lead_ml,Jobber,2.245,46.6,2.8,353,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1236 AND u_hazard <= -0.1409,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1236 AND ""u_hazard"" IS NOT NULL AND ""u_hazard"" <= -0.1409",COMBINA_1027.xlsx
BAS_prop:shorten_0210,prop:shortener_vs_open,Jobber,2.263,45.7,2.8,299,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_jump >= 0.9449,"""u_jump"" IS NOT NULL AND ""u_jump"" >= 0.9449",COMBINA_1027.xlsx
BAS_late_lead_ho_0101,late_lead_hold,Npc,1.634,63.4,2.6,356,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tot_vs_line >= -167.5 AND pace_last_300s_vs_line <= -72.8785,"""tot_vs_line"" IS NOT NULL AND ""tot_vs_line"" >= -167.5 AND ""pace_last_300s_vs_line"" IS NOT NULL AND ""pace_last_300s_vs_line"" <= -72.8785",COMBINA_1027.xlsx
BAS_prop:garbage_0122,prop:garbage_under,Vision,1.765,58,2.5,357,prop:garbage_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,total_line_move >= -5.8769,"""total_line_move"" IS NOT NULL AND ""total_line_move"" >= -5.8769",COMBINA_1027.xlsx
BAS_prop:dog_lea_0181,prop:dog_leading_late,Jobber,2.434,42.2,2.5,315,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_vs_line <= -154.5,"""lead_vs_line"" IS NOT NULL AND ""lead_vs_line"" <= -154.5",COMBINA_1027.xlsx
BAS_late_lead_ho_0098,late_lead_hold,Npc,1.541,66.9,2.4,332,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,price_gap >= 0.2 AND jump_loser >= 0.9075,"""price_gap"" IS NOT NULL AND ""price_gap"" >= 0.2 AND ""jump_loser"" IS NOT NULL AND ""jump_loser"" >= 0.9075",COMBINA_1027.xlsx
BAS_prop:first_s_0023,prop:first_scorer_hold,Jobber,2.192,47.1,2.4,313,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1237 AND lead_poss >= 0.7268,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1237 AND ""lead_poss"" IS NOT NULL AND ""lead_poss"" >= 0.7268",COMBINA_1027.xlsx
BAS_dog_leading_0159,dog_leading,Jobber,2.373,43.2,2.3,339,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.117 AND open_vs_now_lead <= 0.7331,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.117 AND ""open_vs_now_lead"" IS NOT NULL AND ""open_vs_now_lead"" <= 0.7331",COMBINA_1027.xlsx
BAS_spec:Leader_0051,spec:Leader,Npc,1.628,63.2,2.2,396,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_imp_under <= 0.578,"""tg_imp_under"" IS NOT NULL AND ""tg_imp_under"" <= 0.578",COMBINA_1027.xlsx
BAS_late_lead_ho_0099,late_lead_hold,Npc,1.629,63.2,2.2,365,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,pace_last_300s_vs_line <= -81.9154,"""pace_last_300s_vs_line"" IS NOT NULL AND ""pace_last_300s_vs_line"" <= -81.9154",COMBINA_1027.xlsx
BAS_dog_covering_0235,dog_covering_late,Vision,1.832,55.8,2.2,321,dog_covering_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,imp_away <= 0.7797,"""imp_away"" IS NOT NULL AND ""imp_away"" <= 0.7797",COMBINA_1027.xlsx
BAS_tg_under_lag_0008,tg_under_lag,Vision,1.778,57.3,2.1,343,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_vs_line >= -179.5,"""lead_vs_line"" IS NOT NULL AND ""lead_vs_line"" >= -179.5",COMBINA_1027.xlsx
BAS_DRIFTED_0021,DRIFTED,Jobber,2.446,41,2.1,347,DRIFTED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_age_s <= 176.862,"""lead_age_s"" IS NOT NULL AND ""lead_age_s"" <= 176.862",COMBINA_1027.xlsx
BAS_late_lead_ho_0100,late_lead_hold,Npc,1.628,63.3,2,337,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,h_score <= 16.1205 AND u_hazard <= -0.1356 AND opp_velocity >= -0.0842,"""h_score"" IS NOT NULL AND ""h_score"" <= 16.1205 AND ""u_hazard"" IS NOT NULL AND ""u_hazard"" <= -0.1356 AND ""opp_velocity"" IS NOT NULL AND ""opp_velocity"" >= -0.0842",COMBINA_1027.xlsx
BAS_prop:shorten_0196,prop:shortener_vs_open,Npc,1.683,61.3,2,339,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_jump <= 0.9519,"""lead_jump"" IS NOT NULL AND ""lead_jump"" <= 0.9519",COMBINA_1027.xlsx
BAS_spread_dog_c_0104,spread_dog_cover,Vision,1.8,56.6,2,366,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.112 AND price_move_since_score <= 1,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.112 AND ""price_move_since_score"" IS NOT NULL AND ""price_move_since_score"" <= 1",COMBINA_1027.xlsx
BAS_prop:first_s_0078,prop:first_scorer_hold,Npc,1.59,64.4,1.9,406,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,leader_implied_gap >= 0.0204,"""leader_implied_gap"" IS NOT NULL AND ""leader_implied_gap"" >= 0.0204",COMBINA_1027.xlsx
BAS_prop:shorten_0198,prop:shortener_vs_open,Npc,1.624,63.3,1.9,325,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,leader_implied_gap >= 0.0192,"""leader_implied_gap"" IS NOT NULL AND ""leader_implied_gap"" >= 0.0192",COMBINA_1027.xlsx
BAS_DRIFTED_0020,DRIFTED,Jobber,2.46,41.5,1.9,335,DRIFTED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,point_spread_home >= 1.6895,"""point_spread_home"" IS NOT NULL AND ""point_spread_home"" >= 1.6895",COMBINA_1027.xlsx
BAS_prop:late_le_0205,prop:late_lead_hold,Npc,1.614,63.3,1.8,341,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,prematch_dog_odds <= 2.9642,"""prematch_dog_odds"" IS NOT NULL AND ""prematch_dog_odds"" <= 2.9642",COMBINA_1027.xlsx
LZ_V270_BASK_016,,Vision,1.787,58.5,1.8,489,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,lead_odds <= 2.25 AND lead_size >= 6 AND lead_odds >= 1.50,"""lead_odds"" IS NOT NULL AND ""lead_odds"" <= 2.25 AND ""lead_size"" IS NOT NULL AND ""lead_size"" >= 6 AND ""lead_odds"" IS NOT NULL AND ""lead_odds"" >= 1.50",COMBINA_1027.xlsx
BAS_spec:HT_Unde_0111,spec:HT_Underdog_Fade,Vision,1.757,58.2,1.8,310,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_changes_300s <= 1,"""lead_changes_300s"" IS NOT NULL AND ""lead_changes_300s"" <= 1",COMBINA_1027.xlsx
BAS_prop:late_le_0242,prop:late_lead_hold,Jobber,2.18,47.1,1.8,331,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,loser_runmin >= 1.168,"""loser_runmin"" IS NOT NULL AND ""loser_runmin"" >= 1.168",COMBINA_1027.xlsx
BAS_dog_leading_0158,dog_leading,Jobber,2.343,44.4,1.8,319,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.1173 AND opp_drift <= 1.0811,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1173 AND ""opp_drift"" IS NOT NULL AND ""opp_drift"" <= 1.0811",COMBINA_1027.xlsx
BAS_SHORTENED_0072,SHORTENED,Jobber,2.431,42.1,1.8,357,SHORTENED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,rk_fav_odds >= 1.23 AND u_open >= 1.2538,"""rk_fav_odds"" IS NOT NULL AND ""rk_fav_odds"" >= 1.23 AND ""u_open"" IS NOT NULL AND ""u_open"" >= 1.2538",COMBINA_1027.xlsx
BAS_prop:held_le_0232,prop:held_lead,Npc,1.538,66.2,1.7,291,prop:held_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,trailer_price >= 1.84 AND lead_delta_last_120s >= -2.4923,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.84 AND ""lead_delta_last_120s"" IS NOT NULL AND ""lead_delta_last_120s"" >= -2.4923",COMBINA_1027.xlsx
BAS_lead_ml_0068,lead_ml,Npc,1.548,66,1.6,403,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,trailer_price >= 1.8471 AND pace_vs_line_pct >= -0.9852,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.8471 AND ""pace_vs_line_pct"" IS NOT NULL AND ""pace_vs_line_pct"" >= -0.9852",COMBINA_1027.xlsx
BAS_tg_under_0002,,Npc,1.686,61.5,1.6,813,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,X_a_score__over__home_odds >= 0 AND lead_m75 <= 1,"""X_a_score__over__home_odds"" IS NOT NULL AND ""X_a_score__over__home_odds"" >= 0 AND ""lead_m75"" IS NOT NULL AND ""lead_m75"" <= 1",COMBINA_1027.xlsx
LZ_V270_BASK_021,,Vision,1.855,56.7,1.6,311,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,total_pts >= 122 AND runmin >= 1.129 AND lead_odds >= 1.50,"""total_pts"" IS NOT NULL AND ""total_pts"" >= 122 AND ""runmin"" IS NOT NULL AND ""runmin"" >= 1.129 AND ""lead_odds"" IS NOT NULL AND ""lead_odds"" >= 1.50",COMBINA_1027.xlsx
BAS_tg_over_0022,tg_over,Vision,1.945,52.5,1.6,274,tg_over,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,total_points_handicap >= 135.5 AND opp_o >= 1.1423,"""total_points_handicap"" IS NOT NULL AND ""total_points_handicap"" >= 135.5 AND ""opp_o"" IS NOT NULL AND ""opp_o"" >= 1.1423",COMBINA_1027.xlsx
BAS_prop:shorten_0195,prop:shortener_vs_open,Npc,1.664,61.8,1.5,325,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_jump <= 0.9429,"""lead_jump"" IS NOT NULL AND ""lead_jump"" <= 0.9429",COMBINA_1027.xlsx
BAS_spec:HT_Unde_0112,spec:HT_Underdog_Fade,Vision,1.729,59.1,1.5,311,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,lead_vs_med <= 1.175 AND rk_dog_odds >= 1.83 AND u_ratio_shift >= 0.5724,"""lead_vs_med"" IS NOT NULL AND ""lead_vs_med"" <= 1.175 AND ""rk_dog_odds"" IS NOT NULL AND ""rk_dog_odds"" >= 1.83 AND ""u_ratio_shift"" IS NOT NULL AND ""u_ratio_shift"" >= 0.5724",COMBINA_1027.xlsx
BAS_late_lead_ho_0215,late_lead_hold,Jobber,2.32,43.7,1.5,303,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,home_pace <= 9,"""home_pace"" IS NOT NULL AND ""home_pace"" <= 9",COMBINA_1027.xlsx
BAS_spread_dog_c_0255,spread_dog_cover,Npc,1.581,63.8,1.4,339,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,proj_gap_n <= -0.0208,"""proj_gap_n"" IS NOT NULL AND ""proj_gap_n"" <= -0.0208",COMBINA_1027.xlsx
BAS_prop:first_s_0077,prop:first_scorer_hold,Npc,1.639,62,1.3,326,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,rk_dog_odds >= 1.8392 AND X_u_elapsed__minus__u_time_in_lead <= 1.0763,"""rk_dog_odds"" IS NOT NULL AND ""rk_dog_odds"" >= 1.8392 AND ""X_u_elapsed__minus__u_time_in_lead"" IS NOT NULL AND ""X_u_elapsed__minus__u_time_in_lead"" <= 1.0763",COMBINA_1027.xlsx
BAS_tg_under_0043,tg_under,Vision,1.908,53.4,1.3,414,tg_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,dog_odds_vol_180 <= 0.8196,"""dog_odds_vol_180"" IS NOT NULL AND ""dog_odds_vol_180"" <= 0.8196",COMBINA_1027.xlsx
BAS_prop:fresh_l_0261,prop:fresh_lead,Jobber,2.282,45.2,1.3,378,prop:fresh_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,leader_drift >= 0.8495,"""leader_drift"" IS NOT NULL AND ""leader_drift"" >= 0.8495",COMBINA_1027.xlsx
BAS_SHORTENED_0070,SHORTENED,Jobber,2.559,40.4,1.3,399,SHORTENED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_ratio_open <= 3.0305,"""u_ratio_open"" IS NOT NULL AND ""u_ratio_open"" <= 3.0305",COMBINA_1027.xlsx
BAS_spec:HT_Unde_0115,spec:HT_Underdog_Fade,Vision,1.716,59,1.2,338,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,imbal >= 0.0217 AND lead_changes_300s <= 1,"""imbal"" IS NOT NULL AND ""imbal"" >= 0.0217 AND ""lead_changes_300s"" IS NOT NULL AND ""lead_changes_300s"" <= 1",COMBINA_1027.xlsx
BAS_dog_leading_0135,dog_leading,Vision,1.713,59.1,1.1,316,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,price_gap >= 0.04 AND lead_changes_300s <= 2,"""price_gap"" IS NOT NULL AND ""price_gap"" >= 0.04 AND ""lead_changes_300s"" IS NOT NULL AND ""lead_changes_300s"" <= 2",COMBINA_1027.xlsx
BAS_pm_underdog_0116,pm_underdog,Vision,1.74,58.3,1.1,325,pm_underdog,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_dog_odds >= 1.83,"""rk_dog_odds"" IS NOT NULL AND ""rk_dog_odds"" >= 1.83",COMBINA_1027.xlsx
BAS_late_lead_ho_0092,late_lead_hold,Npc,1.548,65.9,1,351,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_price <= 1.7584,"""u_price"" IS NOT NULL AND ""u_price"" <= 1.7584",COMBINA_1027.xlsx
BAS_spec:Leader_0057,spec:Leader,Npc,1.609,63.6,1,354,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,dow >= 2 AND ten_mins >= 0.6949,"""dow"" IS NOT NULL AND ""dow"" >= 2 AND ""ten_mins"" IS NOT NULL AND ""ten_mins"" >= 0.6949",COMBINA_1027.xlsx
BAS_late_lead_ho_0222,late_lead_hold,Jobber,2.227,44.8,1,335,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,trailer_price >= 1.34,"""trailer_price"" IS NOT NULL AND ""trailer_price"" >= 1.34",COMBINA_1027.xlsx
BAS_tg_under_lag_0124,tg_under_lag,Vision,1.904,53.2,0.9,439,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,opp_pts_last_60s <= 3,"""opp_pts_last_60s"" IS NOT NULL AND ""opp_pts_last_60s"" <= 3",COMBINA_1027.xlsx
BAS_prop:dog_lea_0174,prop:dog_leading_late,Jobber,2.285,44.4,0.8,329,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_jump <= 1.0162,"""u_jump"" IS NOT NULL AND ""u_jump"" <= 1.0162",COMBINA_1027.xlsx
BAS_tg_under_0044,tg_under,Vision,1.912,52.8,0.7,370,tg_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,lead_m15 <= 1,"""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 1",COMBINA_1027.xlsx
BAS_prop:garbage_0057,,Npc,1.701,60.7,0.6,848,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,odds_ratio >= 0.0833,"""odds_ratio"" IS NOT NULL AND ""odds_ratio"" >= 0.0833",COMBINA_1027.xlsx
BAS_spec:Leader_0055,spec:Leader,Npc,1.602,63.8,0.6,328,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,scoring_rate >= 1.8663 AND imbal >= 0.0161,"""scoring_rate"" IS NOT NULL AND ""scoring_rate"" >= 1.8663 AND ""imbal"" IS NOT NULL AND ""imbal"" >= 0.0161",COMBINA_1027.xlsx
BAS_late_lead_ho_0096,late_lead_hold,Npc,1.66,61.1,0.6,298,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,u_vel_t <= -0.0054 AND wall_min <= 171.805 AND lead_m15 <= 1,"""u_vel_t"" IS NOT NULL AND ""u_vel_t"" <= -0.0054 AND ""wall_min"" IS NOT NULL AND ""wall_min"" <= 171.805 AND ""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 1",COMBINA_1027.xlsx
BAS_prop:dog_lea_0180,prop:dog_leading_late,Jobber,2.349,43.7,0.6,352,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,u_overround <= 1.1109,"""u_overround"" IS NOT NULL AND ""u_overround"" <= 1.1109",COMBINA_1027.xlsx
BAS_prop:dog_lea_0177,prop:dog_leading_late,Jobber,2.365,43.2,0.6,303,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,rk_lead_off_high >= 0.2333 AND lead_m15 <= 1,"""rk_lead_off_high"" IS NOT NULL AND ""rk_lead_off_high"" >= 0.2333 AND ""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 1",COMBINA_1027.xlsx
BAS_lead_ml_0146,lead_ml,Jobber,2.382,41.8,0.6,301,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,tg_overround <= 1.123 AND lead_changes_total <= 2,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.123 AND ""lead_changes_total"" IS NOT NULL AND ""lead_changes_total"" <= 2",COMBINA_1027.xlsx
BAS_pm_underdog_0019,pm_underdog,Jobber,2.574,39.6,0.6,326,pm_underdog,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,needed_rate_for_over >= 2.8864,"""needed_rate_for_over"" IS NOT NULL AND ""needed_rate_for_over"" >= 2.8864",COMBINA_1027.xlsx
BAS_prop:first_s_0079,prop:first_scorer_hold,Npc,1.606,63.3,0.5,455,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,rk_dog_odds >= 1.84,"""rk_dog_odds"" IS NOT NULL AND ""rk_dog_odds"" >= 1.84",COMBINA_1027.xlsx
BAS_lead_ml_0061,lead_ml,Npc,1.62,62.3,0.5,364,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,u_hazard <= -0.1381 AND margin_per_implied >= 1.48,"""u_hazard"" IS NOT NULL AND ""u_hazard"" <= -0.1381 AND ""margin_per_implied"" IS NOT NULL AND ""margin_per_implied"" >= 1.48",COMBINA_1027.xlsx
BAS_late_lead_ho_0095,late_lead_hold,Npc,1.652,61.6,0.5,316,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,u_vel_t <= -0.0052 AND lead_m15 <= 1 AND total_points_over <= 1.93,"""u_vel_t"" IS NOT NULL AND ""u_vel_t"" <= -0.0052 AND ""lead_m15"" IS NOT NULL AND ""lead_m15"" <= 1 AND ""total_points_over"" IS NOT NULL AND ""total_points_over"" <= 1.93",COMBINA_1027.xlsx
BAS_spec:TG_Hist_0003,spec:TG_Historical_vs_Handicap_Under,Vision,1.78,56.2,0.5,369,spec:TG_Historical_vs_Handicap_Under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,needed_rate_for_over <= 3.716 AND tg_overround >= 1.0873 AND margin_per_implied >= 2.2315,"""needed_rate_for_over"" IS NOT NULL AND ""needed_rate_for_over"" <= 3.716 AND ""tg_overround"" IS NOT NULL AND ""tg_overround"" >= 1.0873 AND ""margin_per_implied"" IS NOT NULL AND ""margin_per_implied"" >= 2.2315",COMBINA_1027.xlsx
LZ_V270_BASK_008,,Jobber,2.642,48.8,0.5,806,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,prog >= 0.3672 AND lead_size >= 4 AND lead_odds >= 1.50,"""prog"" IS NOT NULL AND ""prog"" >= 0.3672 AND ""lead_size"" IS NOT NULL AND ""lead_size"" >= 4 AND ""lead_odds"" IS NOT NULL AND ""lead_odds"" >= 1.50",COMBINA_1027.xlsx
BAS_prop:dog_lea_0178,prop:dog_leading_late,Jobber,2.28,45.5,0.5,359,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_overround <= 1.1149,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1149",COMBINA_1027.xlsx
BAS_prop:late_le_0204,prop:late_lead_hold,Npc,1.592,63.5,0.4,319,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2,rk_fav_odds <= 1.75 AND margin_rate <= 6.6917,"""rk_fav_odds"" IS NOT NULL AND ""rk_fav_odds"" <= 1.75 AND ""margin_rate"" IS NOT NULL AND ""margin_rate"" <= 6.6917",COMBINA_1027.xlsx
